"정천면",448,138,185,74,33,9,5,X,452,152,191,63,30,10,6
"주천면",705,255,304,90,38,13,5,X,751,341,298,70,28,11,X
"무주읍",3825,1257,1228,680,460,155,35,10,4111,1479,1399,646,420,126,41
"무풍면",1052,394,428,139,67,16,7,X,1062,440,428,125,52,15,X
"설천면",1774,656,647,245,151,55,14,6,1788,744,679,216,107,32,10
"적상면",1216,463,517,149,41,34,8,X,1268,553,513,127,53,16,6
"안성면",1918,680,798,264,117,42,9,8,1933,775,784,238,93,35,8
"부남면",684,298,268,79,23,10,X,X,702,337,261,70,23,9,X
"장수읍",2954,915,1077,450,310,141,44,17,2963,1026,1070,430,282,114,41
"산서면",944,380,340,126,53,22,16,7,940,414,338,107,52,22,7
"번암면",1065,403,425,147,57,26,X,X,1081,472,411,142,37,12,7
"장계면",1847,610,687,293,164,70,21,X,1841,677,667,276,150,50,21
"천천면",961,363,385,140,44,20,9,X,983,410,398,115,47,9,X
"계남면",892,294,337,140,71,36,10,X,942,363,382,109,57,25,6
"계북면",720,266,285,104,30,19,11,5,729,290,308,80,31,13,7
"임실읍",3259,1296,942,486,352,131,35,17,3220,1310,998,450,299,118,45
"청웅면",615,250,223,84,38,13,6,X,604,254,239,75,25,9,X
"운암면",786,342,293,93,39,14,X,X,756,291,349,80,29,7,X
"신평면",656,256,256,91,34,13,X,X,646,260,280,65,28,12,X
"성수면",738,269,287,106,41,21,11,X,709,287,291,79,37,11,X
"오수면",1698,654,631,236,118,42,10,7,1643,697,628,211,77,21,9
"신덕면",601,239,232,82,28,13,5,X,596,240,247,77,22,5,5
"삼계면",726,296,293,95,24,13,X,X,705,290,315,76,12,8,X
"관촌면",1400,488,499,220,122,55,8,8,1367,507,546,184,85,31,14
"강진면",711,298,254,99,44,8,X,X,676,282,260,94,27,9,X
"덕치면",550,216,216,76,27,7,5,X,561,232,248,55,19,X,X
"지사면",548,196,212,86,27,15,9,X,544,202,229,70,31,8,X
"순창읍",3835,1002,1289,744,519,211,46,24,4159,1256,1412,790,501,145,55
"인계면",684,256,264,89,43,22,9,X,690,274,278,92,29,15,X
"동계면",904,349,351,117,51,26,6,X,903,408,327,107,45,13,X
"적성면",601,229,264,65,25,12,5,X,606,253,250,62,30,6,5
"유등면",508,198,179,70,33,13,6,9,488,205,199,57,16,6,5
"풍산면",788,323,291,106,39,21,X,X,746,320,278,91,43,8,6
"금과면",785,294,327,96,40,15,8,5,812,325,335,102,37,11,X
"팔덕면",623,238,243,63,42,25,10,X,652,266,262,74,28,16,6
"복흥면",922,315,351,130,63,37,18,8,951,366,380,122,54,20,9
"쌍치면",900,316,388,107,63,16,10,X,902,367,380,90,44,15,6
"구림면",1097,418,447,146,50,20,11,5,1081,449,443,130,40,13,6
"고창읍",8325,2469,2723,1527,1081,394,100,31,8716,2993,2952,1392,978,307,94
"고수면",1008,369,413,138,59,20,8,X,1127,521,407,125,51,16,7
"아산면",1195,484,461,139,60,33,14,X,1184,516,461,142,44,12,9
"무장면",1235,453,522,147,77,24,6,6,1273,561,478,147,52,23,12
"공음면",1166,439,495,133,60,27,8,X,1147,507,463,102,47,23,5
"상하면",1085,413,437,141,63,15,14,X,1083,450,444,116,52,11,10
"해리면",1334,541,536,160,63,21,9,X,1271,572,506,128,41,14,10
"성송면",862,341,370,99,34,13,X,X,850,368,354,94,24,7,X
"대산면",1542,599,630,187,89,20,10,7,1509,695,565,168,58,14,9
"심원면",1121,406,457,146,71,31,7,X,1119,449,466,127,43,24,10
"흥덕면",1435,534,577,206,67,38,6,7,1424,604,561,164,69,18,8
"성내면",896,353,348,123,50,17,X,X,898,402,341,114,28,9,X
"신림면",1040,390,437,128,55,16,10,X,1019,455,385,117,38,16,8
"부안면",1268,535,499,143,59,25,5,X,1331,592,537,124,54,18,6
"부안읍",8315,2526,2718,1529,1079,368,71,24,8738,3056,2937,1422,961,299,63
"주산면",901,331,392,108,46,15,7,X,853,381,348,76,31,15,X
"동진면",1296,487,522,175,73,27,8,X,1230,524,482,157,44,14,9
"행안면",971,358,364,139,65,29,11,5,941,372,369,120,55,15,10
"계화면",1483,488,599,257,87,33,17,X,1389,538,570,186,67,19,9
"보안면",1172,484,463,137,59,15,8,6,1154,530,452,115,37,11,9
"변산면",1957,660,748,311,156,63,15,X,1929,764,723,279,110,42,11
"진서면",1062,413,432,139,56,13,6,X,1072,455,424,125,49,14,5
"백산면",1233,495,506,150,58,17,7,X,1177,514,472,138,33,17,X
"상서면",1023,441,365,132,58,18,5,X,1016,462,371,122,42,12,7
"하서면",1191,417,512,155,72,25,8,X,1151,473,481,131,50,13,X
"줄포면",1191,465,478,153,63,23,6,X,1209,535,467,138,41,22,6
"위도면",556,250,214,53,25,10,X,X,526,244,205,43,23,7,X
