"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","도서관수","도서관(실)총좌석수","사서자격증보유","사서자격증미보유","자료구입비예산액","운영비예산액"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000899","무풍초등학교","02","공립","N","","1","34","0","0","5000000","450000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000900","부남초등학교","02","공립","N","","1","21","0","0","5000000","1000000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000901","부당초등학교","02","공립","N","","1","10","0","0","3290000","500000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000903","설천초등학교","02","공립","N","","1","42","0","0","6590000","2270000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000904","안성초등학교","02","공립","N","","1","40","0","0","5280000","700000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000905","적상초등학교","02","공립","N","","1","8","0","1","5080000","880000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000934","격포초등학교","02","공립","N","","1","45","0","0","3210000","192000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000937","곰소초등학교","02","공립","N","","1","50","0","0","6010000","1575000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000941","동북초등학교","02","공립","N","","1","15","0","0","4008000","560000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000944","동진초등학교","02","공립","N","","1","30","0","0","5400000","520000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000947","백룡초등학교","02","공립","N","","1","16","0","0","4268000","420000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000948","백산초등학교","02","공립","N","","1","45","0","0","5349000","443000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000949","변산초등학교","02","공립","N","","1","36","0","0","4794000","600000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000952","부안남초등학교","02","공립","N","","1","28","0","0","4270000","1112000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000953","부안동초등학교","02","공립","N","","1","50","0","0","14040000","14315000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000954","부안초등학교","02","공립","N","","1","70","0","0","9118000","2280000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000955","상서초등학교","02","공립","N","","1","10","0","1","4550000","2000000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000956","영전초등학교","02","공립","N","","1","30","0","0","4926000","1090000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000957","우덕초등학교","02","공립","N","","1","42","0","0","4555000","2100000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000959","위도초등학교","02","공립","N","","1","20","0","0","5100000","300000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000964","주산초등학교","02","공립","N","","1","15","0","0","5120000","457000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000966","줄포초등학교","02","공립","N","","1","24","0","1","5700000","1000000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000967","창북초등학교","02","공립","N","","1","30","0","0","5200000","0"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000968","하서초등학교","02","공립","N","","1","16","0","0","4768000","232000"
"전북특별자치도교육청","전북특별자치도부안교육지원청","전북특별자치도 부안군","S130000969","행안초등학교","02","공립","N","","1","20","0","0","5940000","1500000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001009","구림초등학교","02","공립","N","","1","30","0","0","5060000","1000000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001010","금과초등학교","02","공립","N","","1","30","0","0","4964000","2175000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001013","동계초등학교","02","공립","N","","1","20","0","0","5200000","800000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001014","동산초등학교","02","공립","N","","1","40","0","0","5300000","4000000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001015","복흥초등학교","02","공립","N","","1","20","0","0","5500000","300000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001017","순창중앙초등학교","02","공립","N","","1","50","0","0","7860000","2710000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001018","순창초등학교","02","공립","N","","1","48","0","0","9252000","3965000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001019","시산초등학교","02","공립","N","","1","31","0","0","5137000","987000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001020","쌍치초등학교","02","공립","N","","1","40","0","0","4500000","5900000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001022","옥천초등학교","02","공립","N","","1","24","0","0","5200000","1400000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001024","유등초등학교","02","공립","N","","1","23","0","0","4726000","1500000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001025","인계초등학교","02","공립","N","","1","16","0","0","6260000","1400000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001026","적성초등학교","02","공립","N","","1","8","0","0","4200000","900000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001027","팔덕초등학교","02","공립","N","","1","40","0","0","5910000","500000"
"전북특별자치도교육청","전북특별자치도순창교육지원청","전북특별자치도 순창군","S130001028","풍산초등학교","02","공립","N","","1","10","0","0","5360000","1500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001058","가천초등학교","02","공립","N","","1","22","0","0","4700000","2500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001059","간중초등학교","02","공립","N","","1","24","0","0","5300000","1300000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001061","삼우초등학교","02","공립","N","","1","20","0","0","5590000","2400000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001062","고산초등학교","02","공립","N","","1","53","0","0","5594000","500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001064","구이초등학교","02","공립","N","","1","14","0","0","5107000","1100000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001065","남관초등학교","02","공립","N","","1","15","0","0","4960000","1500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001066","대덕초등학교","02","공립","N","","1","18","0","0","5910000","500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001067","동상초등학교","02","공립","N","","1","0","0","0","4772000","1300000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001068","동양초등학교","02","공립","N","","1","30","0","0","4800000","200000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001069","봉동초등학교","02","공립","N","","1","24","0","0","12610000","2222000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001070","봉동초등학교양화분교장","02","공립","N","","1","12","0","0","2629000","2000000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001071","봉서초등학교","02","공립","N","","1","30","0","0","14046000","4016000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001072","봉성초등학교","02","공립","N","","1","60","0","0","5000000","900000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001073","비봉초등학교","02","공립","N","","1","36","0","0","4904000","2102000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001075","삼례동초등학교","02","공립","N","","1","70","0","0","11704000","3220000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001076","삼례중앙초등학교","02","공립","N","","1","40","0","0","7000000","6500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001077","삼례초등학교","02","공립","N","","1","36","0","1","7140000","1500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001078","상관초등학교","02","공립","N","","1","40","0","0","6440000","2192000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001079","소양서초등학교","02","공립","N","","1","38","0","0","5000000","1850000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001080","소양초등학교","02","공립","N","","1","30","0","0","4858000","2082000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001081","송광초등학교","02","공립","N","","1","36","0","1","4181000","2000000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001082","용봉초등학교","02","공립","N","","1","45","0","1","7458000","500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001083","용진초등학교","02","공립","N","","1","16","0","0","4880000","1600000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001084","운주초등학교","02","공립","N","","1","40","0","1","5568000","1500000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001086","이서초등학교","02","공립","N","","1","24","0","1","13500000","3200000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001087","이성초등학교","02","공립","N","","1","32","0","1","5200000","800000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001088","청명초등학교","02","공립","N","","1","20","0","0","5220000","2250000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001089","청완초등학교","02","공립","N","","1","11","0","1","9102000","4501000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001090","태봉초등학교","02","공립","N","","1","30","0","0","6100000","1170000"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001091","화산초등학교","02","공립","N","","1","20","0","0","5604000","2200000"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001151","금마초등학교","02","공립","N","","1","50","0","0","6900000","3600000"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001153","낭산초등학교","02","공립","N","","1","20","0","0","4900000","1000000"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001154","다송초등학교","02","공립","N","","1","20","0","1","4020000","200000"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001155","망성초등학교","02","공립","N","","1","30","0","0","5528000","1680000"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001156","미륵초등학교","02","공립","N","","1","21","0","1","4270000","1200000"
