"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","연간학생대출자료수","전년도전체학생수","연간학생대출자수","1인당대출자료수"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000624","옥산초등학교","02","공립","N","","1476","50","1085","29.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000626","임피초등학교","02","공립","N","","1983","69","624","28.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000627","창오초등학교","02","공립","N","","1","28","1","0"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000629","회현초등학교","02","공립","N","","4511","168","4116","26.9"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000700","공덕초등학교","02","공립","N","","38","28","29","1.4"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000701","광활초등학교","02","공립","N","","150","18","19","8.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000702","금구초등학교","02","공립","N","","2126","93","596","22.9"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000704","금산초등학교","02","공립","N","","280","12","120","23.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000705","김제검산초등학교","02","공립","N","","2898","747","676","3.9"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000706","김제동초등학교","02","공립","N","","14498","486","10137","29.8"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000707","김제북초등학교","02","공립","N","","320","69","231","4.6"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000708","김제중앙초등학교","02","공립","N","","8271","365","6148","22.7"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000710","김제초등학교","02","공립","N","","102","263","87","0.4"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000711","난산초등학교","02","공립","N","","847","42","525","20.2"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000712","남양초등학교","02","공립","N","","321","29","240","11.1"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000713","만경초등학교","02","공립","N","","364","50","257","7.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000715","백구초등학교","02","공립","N","","456","20","206","22.8"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000716","백석초등학교","02","공립","N","","2285","93","1361","24.6"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000717","벽량초등학교","02","공립","N","","285","23","35","12.4"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000719","봉남초등학교","02","공립","N","","332","41","88","8.1"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000720","부용초등학교","02","공립","N","","377","22","172","17.1"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000721","비룡초등학교","02","공립","N","","403","16","245","25.2"
